,place,beer,name,ratings,score,style,style_name,style_genre
0,21832,56401,99 Red Baboons,7,3.67,101,English Porter,Porters
1,36639,150782,The Stout Porter,9,3.9,101,English Porter,Porters
2,36639,150781,The Table Porter,2,3.98,101,English Porter,Porters
3,36639,168874,The Three Threads,0,0.0,101,English Porter,Porters
4,33192,105164,03|01 Porter (Original),5,3.92,101,English Porter,Porters
5,33192,161436,03|02 Porter (Liberty),3,3.92,101,English Porter,Porters
6,33192,120196,03|03 Porter (Traditional),12,3.94,101,English Porter,Porters
7,33192,219195,03|05 Porter (Willamette & Centennial),2,3.8,101,English Porter,Porters
8,33192,300845,10l09 Coffee Porter - Beyene,1,4.46,101,English Porter,Porters
9,33192,161471,10|01 Coffee Porter (Brazilian - Ethiopian),0,0.0,101,English Porter,Porters
10,33192,161447,10|02 Coffee Porter (Yirgacheffe Konga),0,0.0,101,English Porter,Porters
11,33192,161448,10|03 Coffee Porter (El Aguila),0,0.0,101,English Porter,Porters
12,33192,207341,10|05 Coffee Porter (San Sebastian),1,4.05,101,English Porter,Porters
13,33192,255983,10|05 Coffee Porter (San Sebastian),1,4.13,101,English Porter,Porters
14,33192,256185,10|06 Coffee Porter (Kamwangi AB),3,3.98,101,English Porter,Porters
15,33192,123195,12|02 Barrel Aged Imperial Porter,0,0.0,101,English Porter,Porters
16,33192,133586,12|04 Barrel Aged Traditional Porter,2,3.95,101,English Porter,Porters
17,16423,52106,Porteresque,4,3.71,101,English Porter,Porters
18,9860,323965,Chiltern Black,0,0.0,101,English Porter,Porters
19,9860,323963,Columbian Coffee Porter,0,0.0,101,English Porter,Porters
20,9860,39740,Lord Lieutenant's Ale (Porter),2,3.58,101,English Porter,Porters
21,33194,150248,Porter,3,4.14,101,English Porter,Porters
22,33194,177345,Vatted Porter,0,0.0,101,English Porter,Porters
23,5050,103375,Porterbel,2,4.0,101,English Porter,Porters
24,323,10810,All Black,0,0.0,101,English Porter,Porters
25,323,42248,Old Engine Oil (Cask 4.5%),5,4.24,101,English Porter,Porters
26,323,126381,Old Engine Oil - Calvados Barrel Aged (Zymatore Project),1,2.72,101,English Porter,Porters
27,323,84563,Old Engine Oil - Grenache Barrel Aged (Zymatore Project),18,4.24,101,English Porter,Porters
28,323,875,Old Engine Oil Black Ale,1804,4.14,101,English Porter,Porters
29,323,77058,Old Engine Oil Engineer's Reserve Blackest Ale,336,4.23,101,English Porter,Porters
30,323,13788,Old Engine Oil Special Reserve (Aged In Malt Whiskey Casks),201,3.87,101,English Porter,Porters
31,323,241321,Raspy Engine,22,3.73,101,English Porter,Porters
32,323,88945,Tesco Finest Traditional Porter,2,4.28,101,English Porter,Porters
33,323,74023,Traditional Porter,4,3.83,101,English Porter,Porters
34,1108,176032,Rascal,24,3.81,101,English Porter,Porters
35,31651,104254,Export Porter,1,4.0,101,English Porter,Porters
36,31651,100737,Smoked Porter,2,3.91,101,English Porter,Porters
37,10645,39894,Old Smoky,2,3.63,101,English Porter,Porters
38,52946,361774,Pints of Peace,0,0.0,101,English Porter,Porters
39,52946,361794,Smokin’ Joe,0,0.0,101,English Porter,Porters
40,282,771,Entire Butt English Porter,231,3.89,101,English Porter,Porters
41,50155,296993,Porter's Pit,1,3.75,101,English Porter,Porters
42,42027,223719,Black Pig,1,3.68,101,English Porter,Porters
43,45950,378113,Puolukka Lingonberry Porter,1,3.63,101,English Porter,Porters
44,12566,42998,Cherry Porter,1,4.2,101,English Porter,Porters
45,44099,212528,Mr. M's Porter,2,3.88,101,English Porter,Porters
46,37154,171899,Dark Alchemy,3,3.98,101,English Porter,Porters
47,37154,185909,Darker Alchemy,2,4.48,101,English Porter,Porters
48,36376,169838,Curiouser And Curiouser,1,3.25,101,English Porter,Porters
