profile,beer,abv,name,ratings,score,style
21832,56401,4.2,99 Red Baboons,7,3.67,101
21832,158007,4.9,Amorous Ape,0,0.0,97
21832,73907,5.4,Ape Ale,3,4.34,150
21832,64077,4.0,BG Sips,6,3.54,154
21832,174691,4.9,Chocolate Guerilla,1,4.26,82
21832,75149,4.3,Evolution,2,3.89,98
21832,116573,7.0,Fat Ape,2,3.25,140
21832,158006,4.5,Grumpy Monkey,0,0.0,159
21832,87800,4.9,Guerrilla,3,3.92,13
21832,95994,4.6,Infinity,3,3.49,97
21832,158008,5.5,Orange-u-tang,0,0.0,99
21832,84559,4.1,Sanctuary,3,3.51,98
21832,158005,4.4,Scrum-tious,0,0.0,128
21832,91504,4.3,Tie A Yellow Gibbon,1,4.04,97
21832,91501,5.2,Whisky Guerrilla,1,4.28,13
36639,251232,5.2,Altbier,3,3.71,86
36639,344207,9.0,Anspach & Hobday/Little Leeds Brew House The Big Stout,1,4.03,157
36639,329796,6.7,Anspach & Hobday/Tanker The Sacc. Trois IPA,1,4.04,116
36639,344208,3.5,Anspach & Hobday/Thy Art Is Murder The Black Citra Sour,2,3.77,87
36639,211629,8.5,Experimental Double IPA,1,3.57,140
36639,168873,7.0,IPSaison,2,3.87,129
36639,276855,4.2,Oddbins No. 8 The Oak Smoked Blonde,1,3.81,11
36639,210988,,Raspberry And Basil Wheat,1,4.04,48
36639,149455,6.0,Smoked Brown,9,3.77,73
36639,374445,6.2,The Black IPA,1,3.61,150
36639,241833,5.2,The Cream Ale,2,3.9,6
36639,251234,3.5,The Deutsche Bier,1,4.19,116
36639,344209,4.5,The Experimental Raspberry Berliner Weisse,0,0.0,87
36639,329795,8.3,The Experimental Tripel,1,3.95,58
36639,211628,5.0,The Funky Pale,1,3.54,97
36639,144006,6.0,THE IPA,13,3.63,150
36639,167337,7.5,The Kickstarters,0,0.0,13
36639,367721,3.2,The Kiwi Sour,0,0.0,171
36639,251235,6.0,The Munich IPA,1,4.0,116
36639,301080,6.1,The Pacific IPA,1,3.5,116
36639,264833,4.4,The Pale Ale,1,3.75,154
36639,148944,6.7,The Porter,15,3.86,13
36639,251236,6.9,The Rauchbier,2,3.88,11
36639,169695,4.9,The Sour Botanical,1,4.06,171
36639,169694,4.9,The Sour Dry Hop,3,3.94,171
36639,367722,5.5,The Sour IPA,0,0.0,171
36639,150782,8.5,The Stout Porter,9,3.9,101
36639,150781,2.8,The Table Porter,2,3.98,101
36639,168874,6.4,The Three Threads,0,0.0,101
3396,195552,,70 Shilling,2,3.32,68
3396,63034,4.2,Aleoween Pumpkin Ale,1,3.43,68
3396,26810,5.0,Bannockburn,6,3.12,68
3396,49586,4.0,Ben Nevis,4,3.1,68
3396,195557,,Black Pot,1,3.96,13
3396,22635,4.5,Bridge Of Allan Glencoe Organic Wild Oat Stout,17,3.9,69
3396,25791,4.0,Brig O'Allan 80/- Ale,1,4.15,68
3396,19653,4.8,City Of Stirling Ale 80 Shilling,4,3.69,68
3396,195553,5.0,Czech Pot,2,3.59,99
3396,195559,3.4,De Brus Ancestral IPA,1,4.0,150
3396,245840,4.0,Earl Grey Tea Pot,1,2.56,99
3396,245825,5.0,Ginger Pot,1,2.99,99
3396,40478,4.2,Golden Thistle,1,4.5,154
3396,195554,,Hop Nouveau Blonde,1,3.58,99
3396,195556,,Hop Nouveau Rouge,1,4.05,68
3396,37042,5.0,Lomond Gold,9,3.12,68
3396,195555,,Procrastinator,2,3.24,116
3396,95892,5.0,Real Scottish Honey Beer,1,1.17,8
3396,38172,5.0,Red Mist,1,3.35,9
3396,246030,4.5,Ruby Honey,1,2.5,74
3396,38675,4.5,Sheriffmuir,2,3.66,66
3396,26688,4.8,Stirling Brig 1297,3,3.75,68
3396,95758,4.0,Thai Pot,1,2.68,8
3396,246026,,Treacle (gluten Free),1,2.4,154
3396,195558,,Wee Heavy,1,3.64,77
3396,39567,4.5,William Wallace,13,3.26,68
8396,92993,4.2,1648 Armistice,1,4.33,98
8396,28771,3.9,1648 Original,0,0.0,98
8396,115421,5.5,Black Velvet,1,3.5,69
8396,368014,100.0,Earache: World's Shortest Album,1,5.0,47
8396,40853,3.7,Hop Pocket,1,3.82,98
8396,368012,100.0,Radiohead - OK Computer,0,0.0,11
8396,79965,3.6,Ruby Mild,1,3.97,75
8396,28773,4.5,Signature,0,0.0,154
8396,28772,4.8,Winter Warrant,1,3.5,47
33192,217894,5.6,01/14 Saison Jarrylo,2,3.86,129
33192,266036,4.7,01/15 Saison - Roibos & Lemon,1,3.15,129
33192,356801,6.2,01/17 Saison - Enigma & Nelson,1,3.74,129
33192,356811,5.8,01/28 Saison - Huell Melon & Hall Blanc,1,3.74,129
33192,105159,5.5,01|01 Saison (Citra),15,3.74,129
33192,140591,5.2,01|02 Saison Amarillo And Orange,8,3.98,129
33192,123193,5.2,01|03 Saison (Cucumber & Juniper),2,3.63,129
33192,123194,6.0,01|04 Saison (Ginger & Grapefruit),4,3.47,129
33192,105161,5.3,01|05 Saison (Saphir & Lemon),1,4.0,129
33192,114580,5.0,01|06 Saison (Motueka & Lime),10,3.52,129
33192,113105,6.0,01|07 Saison (Nelson Sauvin),5,3.99,129
33192,112943,6.2,01|08 Saison (Wai-iti & Lemon),7,3.77,129
33192,161424,5.6,01|09 Saison (Hibiscus & Chamomile),7,3.59,129
33192,161425,5.0,01|10 Saison (Classic),6,3.6,129
33192,161418,5.4,01|11 Saison (Quince),1,3.74,129
33192,176313,5.8,01|13 Saison (Mosaic),7,3.96,129
33192,237719,5.5,01|16 Saison (Rakau),0,0.0,129
33192,255759,,01|20 Saison,2,3.95,129
33192,331133,5.5,01|26 Saison (Smoked Wheat & Fuggles),1,4.25,129
33192,307060,5.5,01|29 Saison - Oyster & Kombu,2,3.74,129
33192,310447,4.2,01|31 Saison Motueka Wai-Iti Vic Secret,1,3.66,129
33192,113106,5.4,02|01 Golden Ale (Motueka & Pacific Jade),4,4.21,97
33192,161427,5.0,02|02 Golden Ale (Pacific),0,0.0,97
33192,161428,5.2,02|03 Golden Ale (Mosaic & Saphir),0,0.0,129
33192,161429,5.8,02|04 Golden Ale (Chinook & Grapefruit),0,0.0,97
33192,105162,5.0,02|05 Golden Ale (Mosaic & Chinook),1,3.75,97
33192,105163,5.8,02|06 Golden Ale (Nelson & Jade),1,3.75,97
33192,105158,5.5,02|07 Golden Ale (Amarillo & Pacific Jade),2,3.72,97
33192,121241,5.5,02|08 Golden Ale (Polaris & Cascade),2,3.65,97
33192,161430,5.2,02|09 Golden Ale (Summit & Nugget),1,3.58,97
33192,161431,5.2,02|10 Golden Ale (Amarillo & Simcoe),0,0.0,97
33192,161432,5.4,02|11 Golden Ale (Cascade & Bramling),1,3.5,97
33192,161433,5.1,02|12 Golden Ale (Liberty & Pacific Jade),0,0.0,97
33192,161434,5.2,02|13 Golden Ale (Cascade),1,3.44,97
33192,189393,5.5,02|14 Golden Ale (Pacifica & Wai-iti),2,3.37,99
33192,105164,6.0,03|01 Porter (Original),5,3.92,101
33192,161436,5.7,03|02 Porter (Liberty),3,3.92,101
33192,120196,6.5,03|03 Porter (Traditional),12,3.94,101
33192,236052,6.0,03|04 Porter (Bramling Cross),2,3.83,159
33192,219195,6.4,03|05 Porter (Willamette & Centennial),2,3.8,101
33192,250083,6.0,03|06 Porter (Simcoe & Centennial),1,3.53,159
33192,342297,9.5,03|07 Porter Baltic,0,0.0,80
33192,133587,4.2,04|01 Berliner Weisse (Classic),2,3.88,87
33192,140587,5.8,04|02 Berliner Weisse (Double Strength),2,3.82,87
33192,161437,3.7,04|04 Berliner Weisse (Lime),1,3.81,87
33192,198581,5.0,04|06 Berliner Weisse (Raspberry),2,3.46,87
33192,356816,6.4,05/12 India Pale Ale - Five 'C' Hops,1,3.81,116
33192,356789,6.2,05/30 India Pale Ale - Amarillo & Simcoe,2,4.02,116
33192,120193,7.2,05|01 India Pale Ale (Amarillo & Citra),3,3.68,116
33192,161449,7.2,05|02 India Pale Ale (Three American Hops),0,0.0,116
33192,105160,6.4,05|03 India Pale Ale (Amarillo & Mosaic),2,4.14,116
33192,161450,6.4,05|04 India Pale Ale (Motueka & Centennial),0,0.0,116
33192,161451,7.3,05|05 India Pale Ale (Simcoe & Chinook),5,4.19,116
33192,161452,7.3,05|06 India Pale Ale (Citra & Simcoe),0,0.0,116
33192,161453,7.2,05|07 India Pale Ale (Motueka & Pacific Jade),0,0.0,116
33192,161454,6.5,05|08 India Pale Ale (Mosaic),2,3.93,116
33192,161455,6.7,05|09 India Pale Ale (Vienna),0,0.0,116
33192,183235,6.5,05|10 India Pale Ale (Amarillo & Cascade),1,3.92,116
33192,222124,7.0,05|13 India Pale Ale (rakau),1,4.32,116
33192,219270,6.5,05|14 IPA (Citra & Summit),2,4.1,116
33192,230665,6.0,05|15 India Pale Ale (Citra & Azacca),3,4.2,116
33192,237720,6.3,05|16 India Pale Ale (Centennial Mosaic Enigma),0,0.0,129
33192,249637,6.5,05|17 India Pale Ale (Simcoe Citra Chinook),1,3.8,116
33192,286357,6.2,05|21 India Pale Ale (Azacca & NZ Cascade),2,4.12,116
33192,312905,6.2,05|24 India Pale Ale (Citra & Chinook),1,3.75,116
33192,304031,6.3,"05|25 India Pale Ale (Citra, HBC 431)",4,3.92,116
33192,309259,6.2,05|26 India Pale Ale (Citra & Ekuanot),3,3.8,116
33192,360026,6.2,05|31 India Pale Ale (Simcoe & Centennial),1,3.5,116
33192,161443,7.3,06|01 Belgian Blonde (Three Grain),0,0.0,190
33192,161444,7.3,06|02 Belgian Blonde (Three Grain Oaked),0,0.0,190
33192,105165,5.0,07|01 Witbier (Classic),1,3.5,48
33192,105166,4.8,07|02 Witbier (Strawberry & Mango),1,3.0,48
33192,158009,6.5,07|03 Witbier (Elderflower & Lime),1,4.0,48
33192,155367,5.2,07|04 Witbier (Orange & Lemons),2,3.5,48
33192,237721,5.4,07|07 Witbier (Orange),1,3.5,48
33192,113107,6.1,08|01 Stout (Export Strength),13,3.91,95
33192,161442,8.6,08|02 Stout (Imperial),6,3.91,95
33192,157978,6.4,08|03 Stout (Chocolate & Orange),11,3.94,13
33192,213580,5.4,08|05 Stout (Oyster),1,3.79,13
33192,219271,5.7,08|06 Stout (Oatmeal),1,3.5,69
33192,288086,4.0,08|07 - Stout - Coffee & Milk,3,3.45,13
33192,133588,6.4,09|01,0,0.0,74
33192,133590,6.4,09|01 Brown Ale (Bramling X & Columbus),2,4.06,73
33192,161440,6.3,09|02 Brown Ale (Nut Brown),1,3.64,74
33192,160661,5.5,09|03 Brown Ale (Willamette & Summit),1,3.76,74
33192,223955,6.4,09|05 Brown Ale (Chinook & Centennial),2,3.65,73
33192,207343,8.2,100|1 Baltic Porter (Original),0,0.0,80
33192,207344,9.2,100|2 Baltic Porter (Red Wine),1,2.25,80
33192,207345,9.8,100|3 Baltic Porter (Cognac),0,0.0,80
33192,207346,10.3,100|4 Baltic Porter (Sherry),0,0.0,80
