,profile,phone,profile_type,zip_code,latitude,longitude,gmaps,beer,name,style,style_name,style_genre
0,80,+44 (0)1357 520419,Brewery,ML10 6PB,55.6651765311965,-4.04849485136067,https://maps.google.com/maps?oi=map&q=Craigmill+Brewery%2C+Strathaven%2C+GB6%2C+UK%2C+ML10+6PB,50492,Strathaven Old Mortality,68,Scottish Ale,Dark Ales
1,101,+44 01780 752186,Brewery,PE9 2PA,52.6518223804383,-0.482005,https://maps.google.com/maps?oi=map&q=All+Saints+Brewery%2C+All+Saints+Street%2C+Lincolnshire%2C+Stamford%2C+GB2%2C+UK%2C+PE9+2PA,56,Melbourn Bros. Strawberry,9,Fruit and Field Beer,Specialty Beers
2,113,+44 1937 832225,"Brewery, Beer-to-go",LS24 9SB,53.883182,-1.260943,https://maps.google.com/maps?oi=map&q=Old+Brewery%2C+High+Street%2C+Tadcaster%2C+GB2%2C+UK%2C+LS24+9SB,571,Oatmeal Stout,69,English Oatmeal Stout,Stouts
3,203,+44 (01284) 763222,Brewery,IP33 1QT,52.241114,0.7185560000000001,https://maps.google.com/maps?oi=map&q=Westgate+Brewery%2C+Bury%2C+St.+Edmonds%2C+Suffolk%2C+GB2%2C+UK%2C+IP33+1QT,637,Old Speckled Hen,154,English Pale Ale,Pale Ales
4,203,+44 (01284) 763222,Brewery,IP33 1QT,52.241114,0.7185560000000001,https://maps.google.com/maps?oi=map&q=Westgate+Brewery%2C+Bury%2C+St.+Edmonds%2C+Suffolk%2C+GB2%2C+UK%2C+IP33+1QT,637,Old Speckled Hen,154,English Pale Ale,Pale Ales
5,53486,,Brewery,IP33 1QT,52.241114,0.7185560000000001,https://maps.google.com/maps?oi=map&q=Westgate+Brewery%2C+Bury%2C+St.+Edmunds%2C+Suffolk%2C+GB2%2C+UK%2C+IP33+1QT,353661,Bitter Sweet,175,American Black Ale,Dark Ales
6,53486,,Brewery,IP33 1QT,52.241114,0.7185560000000001,https://maps.google.com/maps?oi=map&q=Westgate+Brewery%2C+Bury%2C+St.+Edmunds%2C+Suffolk%2C+GB2%2C+UK%2C+IP33+1QT,353661,Bitter Sweet,175,American Black Ale,Dark Ales
7,294,+44 (0)1751 417330,"Brewery, Bar, Beer-to-go",YO18 8HH,54.290698285462796,-0.8409232817477231,https://maps.google.com/maps?oi=map&q=Main+St%2C+Cropton%2C+GB2%2C+UK%2C+YO18+8HH,815,Monkman's Slaughter Ale,66,English Extra Special/ Strong Bitter (ESB),Pale Ales
8,479,+44 020 8533 3575,Brewery,E3 2NT,51.539293,-0.021334,https://maps.google.com/maps?oi=map&q=The+Eyrie%2C+2-3+Stour+Road%2C+Hackney+Wick%2C+London%2C+GB2%2C+UK%2C+E3+2NT,5846,Watney's Cream Stout,82,English Sweet/ Milk Stout,Stouts
9,664,01234 272766,Brewery,MK40 4LU,52.1312208402415,-0.482197342223954,https://maps.google.com/maps?oi=map&q=The+Brewery%2C+Haverlock+Street%2C+Bedford%2C+GB2%2C+UK%2C+MK40+4LU,73,Young's Double Chocolate Stout,82,English Sweet/ Milk Stout,Stouts
10,798,+44 (0)1429 266666,Brewery,TS24 7QS,54.68162097921579,-1.21275167624941,https://maps.google.com/maps?oi=map&q=Lion+Brewery%2C+Stockton+Road%2C+Hartlepool%2C+GB2%2C+UK%2C+TS24+7QS,19275,Longleg,154,English Pale Ale,Pale Ales
11,801,+44 029 2040 2060,Brewery,CF10 5DS,51.4737290560685,-3.17934333748335,https://maps.google.com/maps?oi=map&q=The+Cardiff+Brewery%2C+Crawshay+Street%2C+Cardiff%2C+GB7%2C+UK%2C+CF10+5DS,2454,Brains The Rev. James,98,English Bitter,Pale Ales
12,807,+44 1754 880317,"Brewery, Bar, Eatery, Beer-to-go",PE24 4JE,53.104433588539294,0.23222645339877104,https://maps.google.com/maps?oi=map&q=Salem+Bridge+Brewery%2C+Mill+Lane%2C+Wainfleet%2C+Skegness%2C+GB2%2C+UK%2C+PE24+4JE,2572,Batemans XXXB,66,English Extra Special/ Strong Bitter (ESB),Pale Ales
13,1310,+44 01554 773357,Brewery,SA14 8LB,51.697314844215406,-4.146690946696371,https://maps.google.com/maps?oi=map&q=Farmers+Row%2C+Llanelli%2C+GB7%2C+UK%2C+SA14+8LB,3535,Thames Welsh ESB,66,English Extra Special/ Strong Bitter (ESB),Pale Ales
14,1417,01765 689227,"Brewery, Bar, Eatery",HG4 4EN,54.2245928252404,-1.6581144377859098,https://maps.google.com/maps?oi=map&q=Wellgarth%2C+Masham+North+Yorkshire%2C+GB2%2C+UK%2C+HG4+4EN,3824,Monty Python's Holy Grail Ale,154,English Pale Ale,Pale Ales
