place,beer,usr,date,rating,style,s_name
323,123217,621888,2014-09-04,3.64,37,Òrach Slie
323,123217,565159,2014-08-20,3.5,37,Òrach Slie
323,123217,813189,2014-07-09,4.25,37,Òrach Slie
323,123217,163714,2014-06-20,3.66,37,Òrach Slie
323,123217,689880,2016-04-26,3.8,37,Òrach Slie
323,123217,681384,2016-04-23,4.1,37,Òrach Slie
323,123217,1040855,2016-01-26,3.75,37,Òrach Slie
323,123217,199175,2016-01-24,3.47,37,Òrach Slie
323,123217,414386,2015-12-07,3.9,37,Òrach Slie
323,123217,37285,2015-11-21,3.72,37,Òrach Slie
323,123217,1056794,2015-11-16,3.86,37,Òrach Slie
323,123217,786112,2015-10-05,4.09,37,Òrach Slie
323,123217,762962,2015-08-11,3.91,37,Òrach Slie
323,123217,67138,2015-08-05,3.94,37,Òrach Slie
323,123217,2335,2015-07-17,3.6,37,Òrach Slie
323,123217,324664,2015-06-27,3.92,37,Òrach Slie
323,123217,652453,2015-06-22,3.21,37,Òrach Slie
323,123217,519375,2015-06-20,3.38,37,Òrach Slie
323,123217,17251,2015-06-19,3.79,37,Òrach Slie
323,123217,113604,2015-06-04,3.89,37,Òrach Slie
323,123217,891744,2015-05-31,4.25,37,Òrach Slie
323,123217,881522,2015-05-23,3.9,37,Òrach Slie
323,123217,717239,2015-05-11,3.11,37,Òrach Slie
323,123217,478775,2015-05-08,3.28,37,Òrach Slie
323,123217,393082,2015-05-08,3.85,37,Òrach Slie
323,123217,717984,2015-04-29,3.73,37,Òrach Slie
323,123217,760091,2015-04-27,4.03,37,Òrach Slie
323,123217,881800,2015-04-25,3.6,37,Òrach Slie
323,123217,524986,2014-11-27,3.37,37,Òrach Slie
118,12744,409755,2011-04-29,3.13,154,Orkney Raven Ale
118,12744,422542,2010-02-28,3.51,154,Orkney Raven Ale
118,12744,10662,2010-02-11,3.86,154,Orkney Raven Ale
118,12744,364,2009-06-06,3.36,154,Orkney Raven Ale
118,12744,69817,2008-11-17,3.2,154,Orkney Raven Ale
118,12744,111074,2008-03-24,3.8,154,Orkney Raven Ale
118,12744,323,2007-09-15,3.83,154,Orkney Raven Ale
118,12744,19527,2006-04-11,3.97,154,Orkney Raven Ale
118,12744,16869,2006-02-05,3.58,154,Orkney Raven Ale
118,12744,473,2004-09-12,3.82,154,Orkney Raven Ale
118,12744,2473,2004-02-19,3.57,154,Orkney Raven Ale
118,12744,264,2003-09-17,2.0,154,Orkney Raven Ale
118,12744,1208604,2017-08-09,3.89,154,Orkney Raven Ale
118,12744,961247,2016-07-14,3.64,154,Orkney Raven Ale
118,12744,886094,2016-07-03,3.5,154,Orkney Raven Ale
118,12744,1026031,2015-09-12,3.0,154,Orkney Raven Ale
118,12744,914481,2015-07-12,3.86,154,Orkney Raven Ale
118,12744,935733,2015-07-08,3.88,154,Orkney Raven Ale
118,12744,683055,2015-07-01,3.37,154,Orkney Raven Ale
118,12744,948427,2015-05-20,3.9,154,Orkney Raven Ale
118,12744,199175,2015-05-03,3.62,154,Orkney Raven Ale
118,12744,276070,2015-04-29,3.68,154,Orkney Raven Ale
118,12744,812330,2015-01-22,3.54,154,Orkney Raven Ale
118,12744,778537,2014-04-08,3.5,154,Orkney Raven Ale
118,12744,760280,2013-11-07,3.5,154,Orkney Raven Ale
118,12744,691982,2013-10-16,3.5,154,Orkney Raven Ale
118,12744,742617,2013-10-03,3.5,154,Orkney Raven Ale
118,12744,739407,2013-06-30,3.75,154,Orkney Raven Ale
118,12744,681465,2013-06-20,3.42,154,Orkney Raven Ale
118,12744,326297,2013-04-30,2.82,154,Orkney Raven Ale
118,12744,524986,2013-02-20,2.78,154,Orkney Raven Ale
118,12744,638921,2012-12-27,3.75,154,Orkney Raven Ale
118,12744,573230,2012-06-18,3.32,154,Orkney Raven Ale
118,12744,61323,2012-06-06,2.98,154,Orkney Raven Ale
118,12744,657809,2012-04-19,2.75,154,Orkney Raven Ale
118,12744,659505,2012-02-19,3.5,154,Orkney Raven Ale
118,12744,633046,2011-10-30,4.0,154,Orkney Raven Ale
1503,33062,94142,2007-03-01,1.7,154,Toleration Ale (Gluten Free Ale)
1503,33062,14442,2006-12-21,2.23,154,Toleration Ale (Gluten Free Ale)
1503,33062,70442,2006-12-02,2.99,154,Toleration Ale (Gluten Free Ale)
1503,33062,8250,2006-10-05,2.83,154,Toleration Ale (Gluten Free Ale)
1503,33062,777490,,2.33,154,Toleration Ale (Gluten Free Ale)
1503,33062,948639,2018-06-18,3.75,154,Toleration Ale (Gluten Free Ale)
1503,33062,456904,2018-04-09,2.5,154,Toleration Ale (Gluten Free Ale)
1503,33062,1183503,2017-07-18,3.58,154,Toleration Ale (Gluten Free Ale)
1503,33062,1108675,2016-12-09,2.72,154,Toleration Ale (Gluten Free Ale)
1503,33062,708,2016-06-03,3.36,154,Toleration Ale (Gluten Free Ale)
1503,33062,95017,2015-06-10,2.29,154,Toleration Ale (Gluten Free Ale)
1503,33062,365119,2014-09-19,2.75,154,Toleration Ale (Gluten Free Ale)
1503,33062,330550,2013-11-04,2.4,154,Toleration Ale (Gluten Free Ale)
1503,33062,281887,2013-04-10,3.05,154,Toleration Ale (Gluten Free Ale)
1503,33062,489997,2012-05-27,3.16,154,Toleration Ale (Gluten Free Ale)
1503,33062,84,2011-11-08,2.91,154,Toleration Ale (Gluten Free Ale)
1503,33062,372931,2011-09-03,1.43,154,Toleration Ale (Gluten Free Ale)
1503,33062,113659,2011-02-09,2.28,154,Toleration Ale (Gluten Free Ale)
1503,33062,313937,2010-08-13,1.15,154,Toleration Ale (Gluten Free Ale)
1503,33062,6585,2009-06-14,1.97,154,Toleration Ale (Gluten Free Ale)
1503,33062,163647,2009-04-19,1.81,154,Toleration Ale (Gluten Free Ale)
1503,33062,87185,2007-11-27,1.6,154,Toleration Ale (Gluten Free Ale)
1503,33062,37855,2007-11-26,2.25,154,Toleration Ale (Gluten Free Ale)
1503,33062,2080,2007-10-24,2.32,154,Toleration Ale (Gluten Free Ale)
1503,33062,2501,2007-07-27,1.22,154,Toleration Ale (Gluten Free Ale)
1503,33062,26637,2007-07-10,3.8,154,Toleration Ale (Gluten Free Ale)
1503,33062,45161,2007-05-13,1.75,154,Toleration Ale (Gluten Free Ale)
1503,33062,3853,2007-05-08,2.88,154,Toleration Ale (Gluten Free Ale)
1503,33062,1445,2007-04-09,1.51,154,Toleration Ale (Gluten Free Ale)
148,124119,657368,2016-02-20,3.44,41,Belhaven Craft Pilsener
148,124119,660363,2016-02-07,3.06,41,Belhaven Craft Pilsener
148,124119,890335,2016-01-10,4.38,41,Belhaven Craft Pilsener
148,124119,886150,2015-11-07,3.0,41,Belhaven Craft Pilsener
148,124119,789520,2015-10-03,3.72,41,Belhaven Craft Pilsener
148,124119,741560,2015-07-09,4.0,41,Belhaven Craft Pilsener
148,124119,757862,2015-04-22,3.3,41,Belhaven Craft Pilsener
148,124119,691982,2015-04-22,3.35,41,Belhaven Craft Pilsener
148,124119,910080,2015-04-10,3.0,41,Belhaven Craft Pilsener
148,124119,913154,2015-04-03,3.39,41,Belhaven Craft Pilsener
148,124119,943951,2015-02-25,3.0,41,Belhaven Craft Pilsener
148,124119,522501,2015-02-03,3.34,41,Belhaven Craft Pilsener
148,124119,802660,2014-11-14,3.25,41,Belhaven Craft Pilsener
148,124119,621888,2014-11-07,2.85,41,Belhaven Craft Pilsener
148,124119,573230,2014-06-09,3.65,41,Belhaven Craft Pilsener
148,124119,747921,2018-11-02,3.25,41,Belhaven Craft Pilsener
148,124119,1050630,2018-06-22,3.5,41,Belhaven Craft Pilsener
148,124119,1228527,2018-03-28,3.78,41,Belhaven Craft Pilsener
148,124119,670260,2017-12-26,3.91,41,Belhaven Craft Pilsener
148,124119,1197536,2017-12-02,3.59,41,Belhaven Craft Pilsener
148,124119,538155,2017-11-06,3.54,41,Belhaven Craft Pilsener
148,124119,24198,2017-06-19,3.85,41,Belhaven Craft Pilsener
148,124119,65585,2017-04-04,3.32,41,Belhaven Craft Pilsener
148,124119,41976,2017-03-02,3.13,41,Belhaven Craft Pilsener
148,124119,740295,2017-02-26,3.52,41,Belhaven Craft Pilsener
148,124119,818921,2017-02-22,3.27,41,Belhaven Craft Pilsener
148,124119,1180870,2017-01-02,4.42,41,Belhaven Craft Pilsener
148,124119,902538,2017-01-01,3.25,41,Belhaven Craft Pilsener
148,124119,133651,2016-12-24,3.68,41,Belhaven Craft Pilsener
148,124119,917744,2016-11-20,3.43,41,Belhaven Craft Pilsener
148,124119,123826,2016-11-19,3.46,41,Belhaven Craft Pilsener
148,124119,775012,2016-11-01,3.75,41,Belhaven Craft Pilsener
148,124119,741480,2016-11-01,3.17,41,Belhaven Craft Pilsener
148,124119,67138,2016-10-29,3.49,41,Belhaven Craft Pilsener
148,124119,331176,2016-10-28,3.36,41,Belhaven Craft Pilsener
148,124119,897406,2016-09-01,2.94,41,Belhaven Craft Pilsener
148,124119,1123863,2016-06-06,3.25,41,Belhaven Craft Pilsener
148,124119,1124724,2016-03-25,3.57,41,Belhaven Craft Pilsener
148,124119,851763,2016-03-13,3.42,41,Belhaven Craft Pilsener
148,124119,406749,2016-03-13,2.89,41,Belhaven Craft Pilsener
6695,107302,366955,2014-04-07,3.25,98,Marston's Pedigree Bitter
6695,107302,734821,2014-02-04,2.25,98,Marston's Pedigree Bitter
6695,107302,772778,2014-01-04,2.75,98,Marston's Pedigree Bitter
6695,107302,47795,2013-12-05,3.75,98,Marston's Pedigree Bitter
6695,107302,458362,2018-11-03,3.42,98,Marston's Pedigree Bitter
6695,107302,728320,2018-10-07,3.84,98,Marston's Pedigree Bitter
6695,107302,215811,2018-08-28,4.0,98,Marston's Pedigree Bitter
6695,107302,1183020,2018-06-02,3.9,98,Marston's Pedigree Bitter
6695,107302,772206,2017-11-03,3.62,98,Marston's Pedigree Bitter
6695,107302,621888,2017-03-01,3.27,98,Marston's Pedigree Bitter
6695,107302,1005213,2016-11-25,4.25,98,Marston's Pedigree Bitter
6695,107302,709107,2016-08-22,3.5,98,Marston's Pedigree Bitter
6695,107302,1167463,2016-07-27,4.78,98,Marston's Pedigree Bitter
6695,107302,742158,2016-03-25,3.42,98,Marston's Pedigree Bitter
6695,107302,326927,2016-03-22,3.44,98,Marston's Pedigree Bitter
6695,107302,489622,2015-06-10,3.99,98,Marston's Pedigree Bitter
6695,107302,959122,2015-03-15,5.0,98,Marston's Pedigree Bitter
6695,107302,276274,2014-12-31,3.32,98,Marston's Pedigree Bitter
6695,107302,629360,2014-10-31,3.0,98,Marston's Pedigree Bitter
6695,107302,709853,2014-10-27,3.0,98,Marston's Pedigree Bitter
6695,107302,640760,2014-10-08,3.5,98,Marston's Pedigree Bitter
6695,107302,755032,2014-09-18,3.4,98,Marston's Pedigree Bitter
6695,107302,842202,2014-09-16,3.0,98,Marston's Pedigree Bitter
6695,107302,318621,2014-09-03,3.5,98,Marston's Pedigree Bitter
6695,107302,843387,2014-08-11,4.25,98,Marston's Pedigree Bitter
6695,107302,704369,2014-08-08,3.5,98,Marston's Pedigree Bitter
6695,107302,741134,2014-07-04,3.75,98,Marston's Pedigree Bitter
6695,107302,619313,2014-06-03,4.75,98,Marston's Pedigree Bitter
6695,107302,52897,2014-05-27,3.0,98,Marston's Pedigree Bitter
148,22386,69817,2010-02-01,2.34,68,Robert Burns Scottish Ale
148,22386,14050,2009-02-09,3.41,68,Robert Burns Scottish Ale
148,22386,46871,2007-01-31,4.03,68,Robert Burns Scottish Ale
148,22386,1347,2005-03-05,3.93,68,Robert Burns Scottish Ale
148,22386,323,2018-06-27,3.77,68,Robert Burns Scottish Ale
148,22386,1069757,2018-03-18,4.0,68,Robert Burns Scottish Ale
148,22386,1194384,2018-02-24,3.8,68,Robert Burns Scottish Ale
148,22386,1014511,2017-04-30,3.83,68,Robert Burns Scottish Ale
148,22386,1180870,2016-11-19,4.52,68,Robert Burns Scottish Ale
148,22386,65585,2015-12-13,3.59,68,Robert Burns Scottish Ale
